postcode,date,median_rent
2144,2024-03-31,620.0
2144,2024-06-30,650.0
2144,2024-09-30,622.5
2144,2024-12-31,650.0
2144,2025-03-31,650.0
2144,2025-06-30,655.0
2144,2025-09-30,650.0
2144,2025-12-31,695.0
2145,2024-03-31,630.0
2145,2024-06-30,620.0
2145,2024-09-30,620.0
2145,2024-12-31,620.0
2145,2025-03-31,650.0
2145,2025-06-30,650.0
2145,2025-09-30,650.0
2145,2025-12-31,650.0
2148,2024-03-31,565.0
2148,2024-06-30,580.0
2148,2024-09-30,580.0
2148,2024-12-31,570.0
2148,2025-03-31,590.0
2148,2025-06-30,580.0
2148,2025-09-30,580.0
2148,2025-12-31,600.0
2150,2024-03-31,650.0
2150,2024-06-30,628.0
2150,2024-09-30,650.0
2150,2024-12-31,650.0
2150,2025-03-31,650.0
2150,2025-06-30,650.0
2150,2025-09-30,650.0
2150,2025-12-31,665.0
2170,2024-03-31,580.0
2170,2024-06-30,572.5
2170,2024-09-30,580.0
2170,2024-12-31,570.0
2170,2025-03-31,570.0
2170,2025-06-30,585.0
2170,2025-09-30,600.0
2170,2025-12-31,600.0
2200,2024-03-31,600.0
2200,2024-06-30,600.0
2200,2024-09-30,600.0
2200,2024-12-31,610.0
2200,2025-03-31,620.0
2200,2025-06-30,620.0
2200,2025-09-30,620.0
2200,2025-12-31,622.5
2560,2024-03-31,550.0
2560,2024-06-30,530.0
2560,2024-09-30,527.5
2560,2024-12-31,550.0
2560,2025-03-31,570.0
2560,2025-06-30,580.0
2560,2025-09-30,560.0
2560,2025-12-31,570.0
2750,2024-03-31,540.0
2750,2024-06-30,560.0
2750,2024-09-30,570.0
2750,2024-12-31,550.0
2750,2025-03-31,572.5
2750,2025-06-30,580.0
2750,2025-09-30,580.0
2750,2025-12-31,570.0
2760,2024-03-31,550.0
2760,2024-06-30,540.0
2760,2024-09-30,550.0
2760,2024-12-31,565.0
2760,2025-03-31,550.0
2760,2025-06-30,560.0
2760,2025-09-30,560.0
2760,2025-12-31,550.0
2770,2024-03-31,500.0
2770,2024-06-30,500.0
2770,2024-09-30,500.0
2770,2024-12-31,500.0
2770,2025-03-31,500.0
2770,2025-06-30,530.0
2770,2025-09-30,500.0
2770,2025-12-31,500.0
